Genre,Anime,Score,Eps,Link
Comedy,Akazukin Chacha,7.41,74,https://myanimelist.net/anime/103/Akazukin_Chacha
Comedy,Boys Be...,6.38,13,https://myanimelist.net/anime/105/Boys_Be
Comedy,Ou Dorobou Jing,7.17,13,https://myanimelist.net/anime/107/Ou_Dorobou_Jing
Drama,Witch Hunter Robin,7.24,26,https://myanimelist.net/anime/7/Witch_Hunter_Robin
Drama,Hachimitsu to Clover,7.98,24,https://myanimelist.net/anime/16/Hachimitsu_to_Clover
Drama,Initial D Fourth Stage,8.17,24,https://myanimelist.net/anime/18/Initial_D_Fourth_Stage
Drama,Monster,8.89,74,https://myanimelist.net/anime/19/Monster
Drama,Texhnolyze,7.75,22,https://myanimelist.net/anime/26/Texhnolyze
Drama,Zipang,7.49,26,https://myanimelist.net/anime/29/Zipang
Drama,Shinseiki Evangelion,8.36,26,https://myanimelist.net/anime/30/Shinseiki_Evangelion
Drama,Shinseiki Evangelion Movie: Shi to Shinsei,7.48,1,https://myanimelist.net/anime/31/Shinseiki_Evangelion_Movie__Shi_to_Shinsei
Drama,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",8.56,1,https://myanimelist.net/anime/32/Shinseiki_Evangelion_Movie__Air_Magokoro_wo_Kimi_ni
Drama,Kenpuu Denki Berserk,8.6,25,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk
Drama,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.7,4,https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen
Drama,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.55,1,https://myanimelist.net/anime/46/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Ishinshishi_e_no_Chinkonka
Drama,Tenshi Kinryouku,6.24,3,https://myanimelist.net/anime/51/Tenshi_Kinryouku
Drama,Kidou Tenshi Angelic Layer,7.26,26,https://myanimelist.net/anime/52/Kidou_Tenshi_Angelic_Layer
Drama,Ai Yori Aoshi,7.1,24,https://myanimelist.net/anime/53/Ai_Yori_Aoshi
Drama,Beck,8.29,26,https://myanimelist.net/anime/57/Beck
Drama,Blue Gender,7.01,26,https://myanimelist.net/anime/58/Blue_Gender
Drama,Chobits,7.39,26,https://myanimelist.net/anime/59/Chobits
Drama,D.C.: Da Capo,6.71,26,https://myanimelist.net/anime/62/DC__Da_Capo
Drama,Rozen Maiden,7.4,12,https://myanimelist.net/anime/64/Rozen_Maiden
Drama,Rozen Maiden: Träumend,7.61,12,https://myanimelist.net/anime/65/Rozen_Maiden__Träumend
Drama,Basilisk: Kouga Ninpou Chou,7.53,24,https://myanimelist.net/anime/67/Basilisk__Kouga_Ninpou_Chou
Drama,Soukyuu no Fafner: Dead Aggressor,7.25,25,https://myanimelist.net/anime/75/Soukyuu_no_Fafner__Dead_Aggressor
Drama,Mahou Shoujo Lyrical Nanoha,7.41,13,https://myanimelist.net/anime/76/Mahou_Shoujo_Lyrical_Nanoha
Drama,Mahou Shoujo Lyrical Nanoha A's,7.95,13,https://myanimelist.net/anime/77/Mahou_Shoujo_Lyrical_Nanoha_As
Fantasy,Bouken Ou Beet,6.93,52,https://myanimelist.net/anime/8/Bouken_Ou_Beet
Fantasy,Naruto,8.01,220,https://myanimelist.net/anime/20/Naruto
Fantasy,One Piece,8.73,Unknown,https://myanimelist.net/anime/21/One_Piece
Fantasy,Trinity Blood,7.28,24,https://myanimelist.net/anime/27/Trinity_Blood
Fantasy,Kenpuu Denki Berserk,8.6,25,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk
Fantasy,.hack//Sign,6.94,26,https://myanimelist.net/anime/48/hack__Sign
Fantasy,Arc the Lad,6.48,26,https://myanimelist.net/anime/55/Arc_the_Lad
Fantasy,Avenger,5.85,13,https://myanimelist.net/anime/56/Avenger
Fantasy,D.N.Angel,7.16,26,https://myanimelist.net/anime/61/DNAngel
Fantasy,Cluster Edge,6.31,25,https://myanimelist.net/anime/69/Cluster_Edge
Fantasy,Shuffle!,7,24,https://myanimelist.net/anime/79/Shuffle
Fantasy,Mai-HiME,7.4,26,https://myanimelist.net/anime/98/Mai-HiME
Fantasy,Mai-Otome,7.27,26,https://myanimelist.net/anime/99/Mai-Otome
Fantasy,Akazukin Chacha,7.41,74,https://myanimelist.net/anime/103/Akazukin_Chacha
Fantasy,Ou Dorobou Jing,7.17,13,https://myanimelist.net/anime/107/Ou_Dorobou_Jing
Fantasy,Ou Dorobou Jing in Seventh Heaven,7.23,3,https://myanimelist.net/anime/108/Ou_Dorobou_Jing_in_Seventh_Heaven
Fantasy,Chou Henshin Cosprayers,4.83,8,https://myanimelist.net/anime/112/Chou_Henshin_Cosprayers
Fantasy,Ijigen no Sekai El-Hazard,6.77,13,https://myanimelist.net/anime/115/Ijigen_no_Sekai_El-Hazard
Fantasy,Shinpi no Sekai El-Hazard (TV),6.93,26,https://myanimelist.net/anime/116/Shinpi_no_Sekai_El-Hazard_TV
Fantasy,Shinpi no Sekai El-Hazard,7.25,7,https://myanimelist.net/anime/117/Shinpi_no_Sekai_El-Hazard
Fantasy,Shinpi no Sekai El-Hazard Season 2,6.76,4,https://myanimelist.net/anime/118/Shinpi_no_Sekai_El-Hazard_Season_2
Fantasy,Fullmetal Alchemist,8.11,51,https://myanimelist.net/anime/121/Fullmetal_Alchemist
Fantasy,Fushigi Yuugi,7.61,52,https://myanimelist.net/anime/123/Fushigi_Yuugi
Fantasy,Fushigi Yuugi: Eikouden,6.79,4,https://myanimelist.net/anime/124/Fushigi_Yuugi__Eikouden
Fantasy,Gate Keepers,6.9,24,https://myanimelist.net/anime/127/Gate_Keepers
Girls Love,Mai-HiME,7.4,26,https://myanimelist.net/anime/98/Mai-HiME
Girls Love,Kannazuki no Miko,6.8,12,https://myanimelist.net/anime/143/Kannazuki_no_Miko
Girls Love,Re: Cutie Honey,7.14,3,https://myanimelist.net/anime/151/Re__Cutie_Honey
Girls Love,Maria-sama ga Miteru,7.28,13,https://myanimelist.net/anime/158/Maria-sama_ga_Miteru
Girls Love,Nageki no Kenkou Yuuryouji,6.18,3,https://myanimelist.net/anime/316/Nageki_no_Kenkou_Yuuryouji
Girls Love,Shoujo Kakumei Utena: Adolescence Mokushiroku,7.68,1,https://myanimelist.net/anime/441/Shoujo_Kakumei_Utena__Adolescence_Mokushiroku
Girls Love,Maria-sama ga Miteru: Haru,7.61,13,https://myanimelist.net/anime/444/Maria-sama_ga_Miteru__Haru
Girls Love,Yami to Boushi to Hon no Tabibito,6.5,13,https://myanimelist.net/anime/497/Yami_to_Boushi_to_Hon_no_Tabibito
Girls Love,Koutetsu Tenshi Kurumi 2,6.27,12,https://myanimelist.net/anime/555/Koutetsu_Tenshi_Kurumi_2
